Marca temporal,Genero,Origen,Edad,¿Eres económicamente independiente? ,Clima,Cantidad_plantas,Parte_predominante_casa,Conocimiento_sobre_plantas,Plantas_recomendadas,Mascotas_infantes,Adquisicion_plantas,Atencion_plantas,Respuesta_planta_mustia,Prefiere_florecer,Preferencia_tonos,Tiempo_para_ti,Paciencia,Sentimientos_adquisicion,Duracion_plantas,Tipo_vivienda
2024/05/05 11:11:36 a. m. EEST,Hombre,España,18 – 25,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",6-10,Ambos por igual,Tengo nociones básicas,Crasula/ Suculenta de Jade;Cactus de bola;Hiedra inglesa,"Sí, pueden clavárselas","Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/05 11:20:35 a. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Orquídea phalaenopsis;Aloe vera;Lavanda,No,"Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/05 12:02:28 a. m. EEST,Hombre,LATAM,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Exterior,Nada,Cactus de bola;Haworthia,"Sí, intentan comérselas",Decoración,La verdad que no,Le echo agua,Si,Fríos,Tengo algo de tiempo libre,No,Indiferencia,Meses,Apartamento
2024/05/05 12:07:58 a. m. EEST,Hombre,España,31 – 48,Sí,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",+10,Ambos por igual,Tengo nociones básicas,Cinta;Helecho de Boston;Planta de serpiente/ Espada de San Jorge,No,"Por sus frutos/ especies aromáticas (tomillo, albahaca);La planté de cero",Cuando me acuerdo,Le echo agua,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,No,Indiferencia,Meses,Chalet
2024/05/05 12:11:13 p. m. EEST,Mujer,España,49 – 59,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Espatifilo;Tradescantia;Palo de Brasil;Violeta africana;Pothos;Planta de serpiente/ Espada de San Jorge;Ficus lyrata;Cactus de jade;Crasula/ Suculenta de Jade;Ficus benjamina;Sedum;Aeonium;Kalanchoe;Hiedra inglesa;Palmera de bambú;Dracaena marginata;Croton;Lavanda;Salvia;Astilbe;Geranio;Petunia;Begonia;Caléndula,No,Decoración;Fue un regalo,Cuando me acuerdo,Le echo agua,Si,Me es indiferente,Tengo algo de tiempo libre,No,Alegría,Años,Apartamento
2024/05/05 12:11:22 a. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",+10,Ambos por igual,Tengo nociones básicas,Cinta;Helecho de Boston;Filodendro;Costilla de Adán;Cactus de Navidad;Pothos;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Haworthia;Aeonium;Echeveria;Planta de araña;Philodendron,"Sí, pueden clavárselas",Decoración;Perfumar el entorno;Fue un regalo;La planté de cero;Me la recomendaron,Les hago bastante caso,Nunca se me ponen mustias,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/05 12:17:18 p. m. EEST,Mujer,Londres,49 – 59,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Interior,Nada,Espatifilo;Costilla de Adán;Ficus lyrata;Orquídea phalaenopsis;Lavanda;Geranio,No,Decoración;Fue un regalo,Todos los días compruebo su estado,Le echo agua,Si,Cálidos,Tengo algo de tiempo libre,No,Alegría,Años,Chalet
2024/05/05 12:22:25 a. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",0,Exterior,Nada,Cinta;Espatifilo;Tradescantia;Fittonia;Cactus de Navidad;Violeta africana;Orquídea phalaenopsis;Aloe vera;Cactus de bola;Echeveria;Kalanchoe;Geranio;Petunia;Fucsia;Begonia,"Sí, intentan comérselas",Decoración,La verdad que no,Me informo de qué le puede pasar,Si,Fríos,No tengo tiempo libre,Si,Alegría,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/05 12:25:03 a. m. EEST,Hombre,España,18 – 25,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",1,Interior,Tengo nociones básicas,Costilla de Adán;Pilea;Violeta africana;Ficus lyrata;Orquídea phalaenopsis;Aloe vera;Petunia;Begonia,"Sí, tiran de las hojas y las tiran (o lo intentan)",La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,Si,Cálidos,No tengo tiempo libre,Si,Alegría,Años,Apartamento
2024/05/05 12:41:15 a. m. EEST,Hombre,LATAM,18 – 25,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",+10,Exterior,Tengo nociones básicas,Costilla de Adán;Tradescantia;Cactus de Navidad;Violeta africana;Planta de serpiente/ Espada de San Jorge;Orquídea phalaenopsis;Crasula/ Suculenta de Jade;Aloe vera;Haworthia;Aeonium;Echeveria;Agave;Lavanda;Geranio;Petunia;Begonia,No,Fue un regalo,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/05 12:45:10 a. m. EEST,Mujer,España,31 – 48,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",0,Ambos por igual,Nada,Helecho de Boston;Fittonia;Violeta africana;Kalanchoe;Planta de araña;Palmera de bambú;Lavanda;Salvia;Astilbe,"Sí, son tóxicas",Decoración,La verdad que no,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Cálidos,Tengo algo de tiempo libre,Si,Alegría,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/05 12:49:14 a. m. EEST,Mujer,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",0,Interior,Nada,Filodendro;Fittonia;Palo de Brasil;Pothos;Planta de serpiente/ Espada de San Jorge;Aloe vera;Echeveria;Planta de araña;Geranio,"Sí, tiran de las hojas y las tiran (o lo intentan)",Fue un regalo,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Cálidos,No tengo tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/05 12:50:20 a. m. EEST,Hombre,Estados Unidos,18 – 25,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Interior,Tengo nociones básicas,Cinta;Helecho de Boston;Echeveria,"Sí, intentan comérselas",Decoración,Les hago bastante caso,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Realización,Años,Apartamento
2024/05/05 12:56:35 p. m. EEST,Mujer,España,18 – 25,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",2-5,Exterior,Me he informado bastante,Espatifilo;Cactus de jade;Aloe vera;Echeveria,"Sí, son tóxicas",Decoración;La planté de cero;Me la recomendaron,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/05 12:59:15 a. m. EEST,Mujer,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Tengo nociones básicas,Espatifilo;Orquídea phalaenopsis;Ficus benjamina;Kalanchoe;Dracaena marginata;Croton;Geranio;Petunia;Begonia,No,Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Cálidos,Tengo bastante tiempo libre,Si,Alegría,Años,Apartamento
2024/05/05 1:02:58 a. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Cactus de jade;Ficus benjamina;Cactus de bola;Caléndula,"Sí, son tóxicas",Decoración,Les hago bastante caso,Le echo agua,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Semanas,Apartamento
2024/05/05 1:05:40 a. m. EEST,Hombre,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Interior,Me he informado bastante,Espatifilo;Filodendro;Palo de Brasil;Pothos;Planta de serpiente/ Espada de San Jorge;Orquídea phalaenopsis;Ficus benjamina;Kalanchoe;Dieffenbachia;Dracaena marginata;Croton;Lavanda;Geranio;Petunia;Begonia,No,Decoración,Cuando me acuerdo,Le echo agua,Si,Cálidos,Tengo algo de tiempo libre,No,Realización,Años,Apartamento
2024/05/05 1:06:42 p. m. EEST,Hombre,España,26 – 30,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Exterior,Nada,Pilea;Cactus de Navidad;Aloe vera,No,Decoración,Les hago bastante caso,Le echo agua,Si,Cálidos,Tengo bastante tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/05 1:13:33 a. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Haworthia;Planta de araña,"Sí, intentan comérselas",Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Indiferencia,Meses,Apartamento
2024/05/05 1:15:02 p. m. EEST,Mujer,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Tengo nociones básicas,Cinta;Espatifilo;Helecho de Boston;Filodendro;Costilla de Adán;Fittonia;Cactus de Navidad;Palo de Brasil;Violeta africana;Pothos;Ficus benjamina;Kalanchoe;Hiedra inglesa;Dieffenbachia;Dracaena marginata;Croton;Lavanda;Salvia;Hosta;Geranio;Petunia;Fucsia;Begonia,No,Decoración;Fue un regalo;La planté de cero,Les hago bastante caso,Le echo agua,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/05 1:22:04 a. m. EEST,Hombre,LATAM,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",+10,Exterior,Tengo nociones básicas,Filodendro;Peperomia;Pilea;Pothos;Planta de serpiente/ Espada de San Jorge;Cactus de bola;Haworthia;Aeonium;Echeveria,No,Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/05 1:22:40 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",0,Ambos por igual,Nada,Cactus de bola,No,Decoración,La verdad que no,Le echo agua,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/05 1:25:13 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Exterior,Tengo nociones básicas,Palo de Brasil;Ficus benjamina;Aloe vera;Planta de araña;Lavanda;Salvia,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración;Perfumar el entorno,Les hago bastante caso,Nunca se me ponen mustias,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/05 1:26:04 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Ambos por igual,Tengo nociones básicas,Filodendro;Pothos;Ficus benjamina;Aloe vera;Palmera de bambú;Rosal,No,Decoración;Mejorar la calidad del aire;La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Realización,Meses,Adosado
2024/05/05 1:27:38 a. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Nada,Sedum;Kalanchoe;Hiedra inglesa;Lavanda;Salvia;Geranio;Begonia,No,Decoración,La verdad que no,Nunca se me ponen mustias,Me es indiferente,Cálidos,No tengo tiempo libre,No,Indiferencia,Años,Chalet
2024/05/05 1:28:45 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",1,Exterior,Me he informado bastante,Filodendro;Costilla de Adán;Palo de Brasil;Violeta africana;Planta de serpiente/ Espada de San Jorge;Aloe vera;Haworthia;Lavanda,"Sí, son tóxicas",La planté de cero,Les hago bastante caso,Nunca se me ponen mustias,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/05 1:32:51 a. m. EEST,Mujer,España,26 – 30,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Ambos por igual,Tengo nociones básicas,Costilla de Adán;Tradescantia;Fittonia;Pilea;Orquídea phalaenopsis;Aloe vera;Lavanda;Salvia;Astilbe;Geranio;Petunia;Fucsia;Begonia;Caléndula,"Sí, son tóxicas","Por sus frutos/ especies aromáticas (tomillo, albahaca);Fue un regalo;La planté de cero",Les hago bastante caso,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,No,Alegría,Meses,Apartamento
2024/05/05 1:42:10 a. m. EEST,Hombre,España,26 – 30,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Nada,Palo de Brasil,No,Decoración;Fue un regalo;La planté de cero,La verdad que no,Le echo agua,Me es indiferente,Fríos,Tengo algo de tiempo libre,No,Indiferencia,Años,Chalet
2024/05/05 1:44:21 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",+10,Ambos por igual,Tengo nociones básicas,Filodendro;Costilla de Adán;Ficus lyrata;Orquídea phalaenopsis;Ficus benjamina;Aloe vera;Cactus de bola;Haworthia;Echeveria,"Sí, son tóxicas","Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Les hago bastante caso,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Cálidos,Tengo bastante tiempo libre,Si,Alegría,Años,Adosado
2024/05/05 1:48:22 a. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Me dedico a la botánica,Helecho de Boston;Pilea;Pothos;Planta de serpiente/ Espada de San Jorge;Orquídea phalaenopsis;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Hiedra inglesa;Dieffenbachia;Lavanda;Salvia;Caléndula;Plantas medicinales o con algún uso,No,"Decoración;Mejorar la calidad del aire;Por sus frutos/ especies aromáticas (tomillo, albahaca);La planté de cero",Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/05 1:49:59 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Interior,Tengo nociones básicas,Costilla de Adán;Pilea;Orquídea phalaenopsis;Ficus benjamina;Cactus de bola;Echeveria;Lavanda,"Sí, pueden clavárselas",Decoración;Perfumar el entorno;Fue un regalo,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo bastante tiempo libre,Si,Alegría,Años,Apartamento
2024/05/05 2:24:55 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Ambos por igual,Tengo nociones básicas,Costilla de Adán;Orquídea phalaenopsis;Sedum;Dracaena marginata;Lavanda;Geranio;Petunia,"Sí, son tóxicas",Decoración,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Meses,Chalet
2024/05/05 2:39:02 a. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",1,Exterior,Tengo nociones básicas,Espatifilo;Begonia rex;Pilea;Cactus de Navidad;Violeta africana;Orquídea phalaenopsis;Cactus de jade;Crasula/ Suculenta de Jade;Ficus benjamina;Aloe vera;Sedum;Aeonium;Echeveria;Kalanchoe;Lavanda;Begonia,"Sí, pueden clavárselas","Por sus frutos/ especies aromáticas (tomillo, albahaca);Fue un regalo",La verdad que no,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/05 2:42:41 a. m. EEST,Hombre,España,31 – 48,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",0,Exterior,Tengo nociones básicas,Aloe vera;Cactus de bola;Planta de araña,"Sí, son tóxicas",Decoración;Mejorar la calidad del aire;Perfumar el entorno,Todos los días compruebo su estado,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Cálidos,No tengo tiempo libre,No,Alegría,Meses,Apartamento
2024/05/05 2:43:10 a. m. EEST,Hombre,LATAM,31 – 48,Sí,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",+10,Exterior,Tengo nociones básicas,Cinta;Helecho de Boston;Filodendro;Costilla de Adán;Begonia rex;Tradescantia;Fittonia;Palo de Brasil;Violeta africana;Pothos;Planta de serpiente/ Espada de San Jorge;Cactus de jade;Crasula/ Suculenta de Jade;Ficus benjamina;Aloe vera;Cactus de bola;Sedum;Echeveria;Philodendron;Nephthytis;Dieffenbachia;Croton;Lavanda;Geranio;Petunia;Begonia,"Sí, pueden clavárselas","Por sus frutos/ especies aromáticas (tomillo, albahaca)",Les hago bastante caso,Me informo de qué le puede pasar,Si,Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/05 2:47:50 a. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Espatifilo;Filodendro;Costilla de Adán;Begonia rex;Tradescantia;Cactus de Navidad;Palo de Brasil;Violeta africana;Ficus lyrata;Orquídea phalaenopsis;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Aeonium;Kalanchoe;Lavanda;Salvia;Geranio;Petunia;Fucsia;Begonia;Caléndula,No,"Mejorar la calidad del aire;Por sus frutos/ especies aromáticas (tomillo, albahaca);La planté de cero",Les hago bastante caso,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/05 3:47:05 a. m. EEST,Hombre,España,31 – 48,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",1,Interior,Tengo nociones básicas,Pothos;Aloe vera;Echeveria;Geranio,No,Decoración;Mejorar la calidad del aire;Fue un regalo,Les hago bastante caso,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Fríos,Tengo algo de tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/05 4:34:45 a. m. EEST,Hombre,LATAM,26 – 30,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",2-5,Exterior,Tengo nociones básicas,Cinta;Espatifilo;Costilla de Adán;Planta de serpiente/ Espada de San Jorge;Crasula/ Suculenta de Jade;Croton,No,"Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca);Fue un regalo",Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/05 5:35:51 a. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",1,Interior,Tengo nociones básicas,Filodendro;Costilla de Adán;Peperomia;Tradescantia;Palo de Brasil;Violeta africana;Pothos;Planta de serpiente/ Espada de San Jorge;Ficus lyrata;Orquídea phalaenopsis;Cactus de jade;Crasula/ Suculenta de Jade;Ficus benjamina;Aloe vera;Cactus de bola;Sedum;Echeveria;Kalanchoe,"Sí, son tóxicas",Decoración;La planté de cero,Cuando me acuerdo,Le echo agua,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/05 5:41:21 p. m. EEST,Hombre,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Exterior,Nada,Espatifilo;Costilla de Adán;Palo de Brasil;Sedum;Lavanda;Salvia,"Sí, intentan comérselas",Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Cálidos,Tengo bastante tiempo libre,Si,Alegría,Años,Adosado
2024/05/05 6:00:54 a. m. EEST,Hombre,LATAM,18 – 25,No,Tropical,2-5,Exterior,Nada,Planta de serpiente/ Espada de San Jorge;Cactus de jade;Aloe vera;Cactus de bola,No,Decoración,Cuando me acuerdo,Le echo agua,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/05 7:08:18 p. m. EEST,Mujer,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Exterior,Me he informado bastante,Cactus de jade;Kalanchoe;Lavanda;Geranio;Petunia,No,Decoración;Perfumar el entorno;La planté de cero,Les hago bastante caso,Nunca se me ponen mustias,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Realización,Años,Chalet
2024/05/05 7:13:07 a. m. EEST,Hombre,LATAM,26 – 30,Sí,Calido seco,2-5,Exterior,Nada,Cactus de jade;Ficus benjamina;Rosa,No,"Mejorar la calidad del aire;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Cuando me acuerdo,Nunca se me ponen mustias,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/05 7:52:07 a. m. EEST,Hombre,LATAM,18 – 25,Sí,Tropical,2-5,Interior,Me he informado bastante,Begonia rex;Violeta africana;Aloe vera;Aeonium;Salvia,"Sí, tiran de las hojas y las tiran (o lo intentan)",Perfumar el entorno,Les hago bastante caso,Me informo de qué le puede pasar,Si,Fríos,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/05 7:52:48 a. m. EEST,Hombre,LATAM,18 – 25,No,Bogota,6-10,Interior,Nada,Peperomia;Pilea;Pothos;Planta de serpiente/ Espada de San Jorge;Crasula/ Suculenta de Jade,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración;Fue un regalo;La planté de cero,Cuando me acuerdo,Nunca se me ponen mustias,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Indiferencia,Años,Chalet
2024/05/05 8:59:35 a. m. EEST,Mujer,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Tengo nociones básicas,Espatifilo;Violeta africana;Lavanda;Salvia;Geranio,"Sí, son tóxicas",Decoración,La verdad que no,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo bastante tiempo libre,No,Alegría,Meses,Apartamento
2024/05/05 9:09:37 a. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Tengo nociones básicas,Orquídea phalaenopsis;Cactus de bola;Geranio;Caléndula;Hierbabuena ,"Sí, pueden clavárselas","Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Todos los días compruebo su estado,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo bastante tiempo libre,Si,Indiferencia,Meses,Apartamento
2024/05/05 9:10:08 a. m. EEST,Hombre,LATAM,31 – 48,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Exterior,Nada,Planta de serpiente/ Espada de San Jorge;Cactus de jade,"Sí, son tóxicas",Decoración,Cuando me acuerdo,Me deshago de ella,Si,Fríos,Tengo bastante tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/05 9:14:32 p. m. EEST,Hombre,España,18 – 25,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",1,Interior,Tengo nociones básicas,Petunia;,No,Decoración,La verdad que no,Le echo agua,Si,Fríos,No tengo tiempo libre,Si,Indiferencia,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/05 9:20:41 p. m. EEST,Hombre,LATAM,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Exterior,Nada,Philodendron,No,Decoración,La verdad que no,Le echo agua,Si,Fríos,Tengo algo de tiempo libre,No,Indiferencia,Meses,Apartamento
2024/05/05 9:43:29 a. m. EEST,Hombre,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Cinta;Begonia rex;Cactus de Navidad;Palo de Brasil;Violeta africana;Aloe vera;Echeveria;Lavanda,"Sí, tiran de las hojas y las tiran (o lo intentan)","Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca);Fue un regalo;La planté de cero",Cuando me acuerdo,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo bastante tiempo libre,No,Alegría,Años,Chalet
2024/05/05 9:55:50 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Exterior,Tengo nociones básicas,Cinta;Helecho de Boston;Costilla de Adán;Begonia rex;Tradescantia;Cactus de Navidad;Planta de serpiente/ Espada de San Jorge;Ficus lyrata;Orquídea phalaenopsis;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Aeonium;Echeveria;Hiedra inglesa;Fucsia,"Sí, intentan comérselas",Decoración;Perfumar el entorno;Fue un regalo,Les hago bastante caso,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/06 1:09:47 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Interior,Me he informado bastante,Espatifilo;Helecho de Boston;Costilla de Adán;Pothos;Planta de serpiente/ Espada de San Jorge;Ficus lyrata;Ficus benjamina;Planta de araña;Hiedra inglesa;Philodendron;Palmera de bambú;Nephthytis;Dieffenbachia;Croton,No,Decoración;Mejorar la calidad del aire;Fue un regalo;La planté de cero,Les hago bastante caso,Nunca se me ponen mustias,"No, prefiero que no tengan flores",Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
